Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Country,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Tradewind,https://www.tradewindmarkets.com/,"Tradewind Markets is technology and trading venture in the financial markets based on trust, transparency, and integrity. Using distributed ledger technology they plan to launch a gold bullion product that taps liquidity of existing markets and a distributed blockchain based settlement system. However, as of September 2016, the company did not release any product.",Series A,"22,000,000",Supply,Existing,2016,USA,Mining,TRUE,,,,
Fairphone,https://www.fairphone.com/en/,"Fairphone is a manufacturer and brand of mobile phones and accessories. Its products include smartphones, case, and battery. The products are available globally through its online site and partnered online retailers.",Series A,"40,000,000",Supply,Emerging,2013,Netherlands,Mining,TRUE,,,,
Metalysis,http://www.metalysis.com/,"Metalysis has a cleaner, cost competitive metal powder processing technology which will play a fundamental part in the future of additive manufacturing.

Our technology is proven at industrial scale and harnessed by a wide range of industry partners. We seek to play a leading role in developing advanced materials for the AM industry to complement our sustainability values.

An end to end manufacturer of premium, solid-state metal and alloy powders. With complete control of the supply chain from mining, extraction and refining to processing. Engineering precision through each step of the process Metalysis can optimise in ways no other metals innovator can dream of.",Series D,"98,600,000",Supply,Emerging,2003,United Kingdom,Mining,TRUE,,,,
Bext360,https://www.bext360.com/,"Bext360 applies blockchain, robotics, and mobile apps to track the supply chains in the coffee industry. Combined with AI that sorts coffee beans and assesses a grade, a distributed ledger technology is applied to record all transcations that take place along the supply chain. Meanwhile, Bext360 blockchain could issue payement to coffee growers instantly.",Seed,"3,470,000",Supply,Existing,2016,USA,Alternative,TRUE,,,,
Carbon Cure,https://www.carboncure.com/,"CarbonCure Technologies has developed a green concrete technology by injecting CO2 into it. Carbon dioxide is captured from big emitters and mixed with cement and other ingredients to produce a stronger and fast setting concrete. The gas is permanently converted into embedded solid mineral carbonates. The technology is also licensed to concrete producers, generating a recurring revenue. Winner of SXSW Eco 2012 i2i Award.",Series D,"88,000,000",Decarbonisation,Distant,2007,"USA, Canada, Singapore",Cement,TRUE,,,,
Anomera,https://www.anomera.ca/applications.php,Anomera’s DextraCel™ enhances the hydration of cement to significantly improve flexural strength and compressive strength. DextraCel™ works well in many types of cement and specifically adds benefits by reducing the quantity of cement required to achieve the same structural properties. In pavement DextraCel™ reduces microcracking for increased durability and extends quality lifecycle of the roadbed.,Seed,"2,095,000",Decarbonisation,Emerging,2016,Canada,Cement,TRUE,,,,
Biomason,https://biomason.com/,"bioMASON employs bacteria to grow a durable cement in ambient temperatures between loose grains of aggregate, producing building materials without emitting greenhouse gases, and without the depletion of non-renewable resources. Its products include proprietary manufacturing process and materials used by users for incorporation in existing facilities or on-site manufacturing. They claim that their products can be used in any existing building infrastructure and comparable to other contemporary products",Seed,"9,900,000",Decarbonisation,Emerging,2012,USA,Cement,TRUE,,,,
Calera,http://www.calera.com/,"Calera designed, constructed and operated plants to develop the CO2 capture and conversion technologies. These demonstrations included flue gas from power plants and burning coal, without concentrating the CO2. CO2 captured is converted into a solid calcium carbonate novel cement which helps in reducing global warming and carbon dioxide from the environment. ",Series B,"26,000,000",Decarbonisation,Distant,2007,USA,Cement,TRUE,,,,
Boston Metal,https://www.bostonmetal.com/our-benefits/#greener,"Boston Metal is a global metals technology solutions company that is commercializing Molten Oxide Electrolysis (MOE), a patented tonnage metals production platform. MOE provides the metals industry with a more efficient, lower cost, and greener solution for the production of a wide variety of metals and alloys from a wide variety of feedstocks. Boston Metal works closely with customers to tailor the MOE technology for specific alloys, feedstocks, and business needs.",Series A,"32,000,000",Decarbonisation,Emerging,2012,USA,Both,TRUE,,,,
Carbicrete,carbicrete.com,"Carbicrete is a provider of technology solutions to concrete manufacturers. The company offers process & materials for the production of pre-cast concrete with less CO2 emissions. It leverages carbon activation technology which eliminates the need for cement in concrete manufacturing.

Carbicrete’s process takes steel slag – the complex silicate and oxide rich waste products from a steel plant currently dumped in slag piles at steel works – and mixes it with purified CO2 in an enclosed chamber. Flue gas is roughly eight per cent CO2 – and Carbicrete needs to get that up to fifty or sixty per cent working with commercial carbon capture partners. “The CO2 gas reacts with the calcium and silicate in the slag to create a product that behaves like cement,” Mahoutian explains. “We’re already fixing 200kg CO2 per day – the next step is scaling up to two tonnes.”",Seed,"2,100,000",Decarbonisation,Distant,2016,Canada,Cement,TRUE,,,,
LC3,https://www.lc3.ch/,"LC3 is a new type of cement that is based on a blend of limestone and calcined clay. LC3 can reduce CO2 emissions by up to 30%, is made using limestone and low-grade clays which are available in abundant quantities, is cost effective and does not require capital intensive modifications to existing cement plants.
A viable solution for large scale production of low carbon cement",Seed,"4,000,000",Decarbonisation,Distant,2014,Switzerland,Cement,TRUE,,,,
LeHigh Technologies,http://lehightechnologies.com/,"This Atlanta firm turns old tyres and other rubber waste into something called micronized rubber powder, which can then be used in a wide variety of applications from tyres to plastics, asphalt and construction material. Five hundred million new tyres have been made using its products, earning it the Award for Circular Economy SME.

Lehigh Technologies is a specialty chemicals company that produces highly engineered, versatile raw materials called micronized rubber powders (MRP) that can replace oil- and rubber-based feedstocks in a wide range of applications. MRP delivers product performance, lower production costs and reduced waste. By transforming waste materials into high-value products, Lehigh provides a sustainable solution to the important environmental problem of end-of-life tires and other post-industrial rubber material.",Acquired,"92,600,000",Decarbonisation,Emerging,2003,USA,Cement,TRUE,,,,
Celitement,http://www.celitement.de/en/,Celitement is a new hydraulic binder that causes up to 50% less carbon dioxide than portland cement. ,Undisclosed,Undisclosed,Decarbonisation,Distant,2017,Germany,Cement,TRUE,,,,
Hoffmann Green Cement Technologies,https://www.ciments-hoffmann.com/,"A pioneer in low-carbon cement. Hoffmann Green innovates by formulating 3 low carbon cements: H-UKR, H-EVA and H-P2A. A pioneer in low-carbon cement, Hoffmann Green combines sustainable development, a circular economy and industrial performance.",Public,"72,487,733",Decarbonisation,Emerging,2015,France,Cement,TRUE,,,,
Ecocem,https://www.ecocem.co.uk/products/ecocem-cementcem-iiia/,"Ecocem Cement (CEM III/A) is a specially formulated blend of traditional cement and a minimum of 50% Ground Granulated Blastfurnace Slag (GGBS) that is EN 197-1 certified CEM III/A 42.5N cement.

Its unrivaled strength, durability and low heat properties make Ecocem CEM III/A ideally suited to marine, agricultural and chemically aggressive environments as well as deep pour foundations such as wind farms. The whiter colour and smoother finish achieved with Ecocem CEM III/A make it the cement of choice for architectural concrete.",Undisclosed,Undisclosed,Decarbonisation,Distant,2003,Ireland,Cement,TRUE,,,,
Zeobond,http://www.zeobond.com/products-e-crete.html,"Zeobond was founded with the vision of developing geopolymer technology and pioneering its commercialisation to make cement manufacture a far more sustainable and environmentally less harmful process. E-Crete™ is Zeobond’s proprietary geopolymer technology product. Consisting of fly ash, the by-product of burning coal at a power station, and slag, the by-product of steel manufacturing, E-Crete™ reduces the embedded CO2 of concrete by at least 60% compared to Ordinary Portland Cement (OPC) based concrete. ",Undisclosed,Undisclosed,Decarbonisation,Distant,2006,Australia,Cement,TRUE,,,,
Solpart,https://www.solpart-project.eu/,"The main objective of the SOLPART project is to develop, at a pilot scale, a high temperature (800-1000°C) 24h/day solar process suitable for particle treatment in energy intensive non-metallic minerals’ industries (such as cement production). Specifically for the production of cement, it can enable the use of solar energy in the calcination process to minimise carbon dioxide emissions during cement production.",Series A,"5,100,000",Decarbonisation,Distant,2018,France,Both,TRUE,,,,
ESS,https://www.essinc.com/,"ESS is a leading provider of long-duration energy storage solutions ideally suited for C&I, utility, microgrid and off-grid applications. ESS has developed an extremely cost-effective energy management system that combines a safe, abundant and non-toxic iron electrolyte with their patented flow cell design. This combination of high performance with low cost means that ESS’s technology is ideally suited for applications that range in size from retail energy management to utility-scale renewables integration.",Series C,"47,000,000",Decarbonisation,Existing,2011,USA,Both,TRUE,,,,
Bloom Energy,https://www.bloomenergy.com/,Bloom Energy builds solid oxide fuel cell technology to convert natural gas into electricity. The company offers distributed generation (DG) (ie power generation at the point of consumption).,Acquired,"974,000,000",Decarbonisation,Existing,2001,USA,Both,TRUE,,,,
Cenin Renewables,https://www.ceninrenewables.co.uk/,"Cenin Renewables develops solar and wind turbine sites. Our renewable energy business cluster at Parc Stormy incorporates anaerobic digestion, wind and PV generation, ultra-low carbon cement production.",Undisclosed,"3,953,000",Decarbonisation,Existing,2011,United Kingdom,Cement,TRUE,,,,
Accordant Energy,https://www.accordantenergy.com/,"Accordant Energy has developed a feedstock material called ReEngineered Feedstock (ReEF) to reduce harmful emission from coal combustion. The ReEF is produced by dechlorinating & synthesizing non-recyclables and fibers from municipal solid waste(MSW). The ReEF needs to be co-fired with coal to reduce the emission of sulfur, nitric oxide, hydrogen chloride, mercury, and other air pollutants",Series A,"7,720,000",Decarbonisation,Distant,2013,USA,Cement,TRUE,,,,
Coomtech,http://www.coomtechltd.com/,"Coomtech Limited, a UK company, has developed a ground-breaking, clean, low-cost technology for drying and upgrading bulk-solid materials.",Series B,"30,000,000",Decarbonisation,Distant,2011,United Kingdom,Cement,TRUE,,,,
Heliogen,https://heliogen.com/,"Carbon-free, ultra-high temperature (up to 1500ºC) heat can be used by customers to replace their use of harmful fossil fuels. Historically dirty processes like calcining, reforming, ore roasting, and sintering, which are used in industries such as cement, refining, and mining can now be made green with HelioHeat.",Undisclosed,n/a,Decarbonisation,Distant,2012,USA,Both,TRUE,,,,
Triogen,http://www.triogen.nl/,"Winner of the Mining Cleantech Challenge 2017 in Denver, Colorado with their next-generation containerized ORC for the mining sector. Triogen’s e-box converts unused exhaust heat from diesel generators into electric power. A single unit saves over 300.000 litres of diesel per year with a 2-year payback. This Dutch cleantech company has references in the field and is partnering with leading genset rental companies.",Series A,"7,200,000",Decarbonisation,Existing,2001,Netherlands,Mining,TRUE,,,,
Gravitricity,https://www.gravitricity.com/,"Expand the useful life of mine shafts by using them for kinetic energy storage. Gravitricity is a UK based company that has developed a novel storage technology which offers some of the best characteristics of lithium batteries and pumped storage. Round trip efficiency of ca. 90%, sub-second response time, lower costs than batteries and output duration of up to 8 hours make this an interesting storage solution for intermittent renewables.",Seed,"1,500,000",Decarbonisation,Distant,2011,United Kingdom,Mining,TRUE,,,,
Agliyx,https://www.agilyx.com/,"Agilyx is an alternative energy company that uses patented, proven and commercially viable technology to convert difficult-to-recycle waste plastics into synthetic crude oil through a process that is scalable, versatile and environmentally positive.",Series C,"50,000,000",Decarbonisation,Emerging,2004,USA,Both,TRUE,,,,
Kite Power Systems,http://www.kps.energy/,Kite Power Systems is developing a low-cost solution to harness energy from the wind using kites. Has received funding from the UK Department of Energy and Climate Change (DECC) Energy Entrepreneurs Fund (EEF) and other private sector funders. Claims to generate power at a lower Levelized Cost of Energy than any other conventional wind and other renewables along with low O&M cost and higher availability.,Series A,"6,340,000",Decarbonisation,Emerging,2011,United Kingdom,Both,TRUE,,,,
Constructis,https://constructisllc.com/,"Constructis has developed the R.E.S.S, Roadway Energy Sensory Systems. The system consists of power modules, where a strike or compression mechanism captures the kinetic motion of any heavy movements and converts it to kWh. Post this it can be metered and distributed to the grid or to power storage. When vehicles pass over the rumble strips on the R.E.S.S system, the modules, capture and convert the energy to electricity. These modules are installed and buried underground and have climate resistant structure, ensuring continued power production. ",Unfunded,n/a,Decarbonisation,Distant,2010,USA,Both,TRUE,,,,
Nostromo Energy,http://nostromo.energy/,Nostromo Energy designed a water-based energy storage system that is challenging the current BTM energy storage landscape.,Unfunded,n/a,Decarbonisation,Distant,2016,USA,Both,TRUE,,,,
SEaB Energy,https://seabenergy.com/,"SEaB Energy is a designer and manufacturer of micro waste to energy plants, using micro anaerobic digestion in its technology. Their products include Flexibuster™ to turn a wide range of organic waste into energy, Muckbuster® for turning slurry and similar farm waste into energy and generate fertilizer as by product. It was selected for third prize Cognicity Challenge event held by Level39, a European accelerator. ",Undisclosed,Undisclosed,Decarbonisation,Emerging,2008,United Kingdom,Both,TRUE,,,,
PYROROTOR® Calciner Technology,https://www.khd.com/newsdetails/items/KHD_to_install_first_PYROROTOR_Calciner_Technology.html,"KHD to install world’s first PYROROTOR® Calciner Technology for high flexible alternative fuel burning in Austria. With the installation of the new PYROROTOR® Calciner Technology from KHD the Gmunden plant will be able to burn very coarse waste-derived fuels including whole rubber tires, which will lead to drastically reduced requirements with waste pre-treatment.",Unfunded,n/a,Decarbonisation,Emerging,2017,Austria,Cement,TRUE,KHD Humboldt Wedag,Activity,,2017
Anaconda Mining,https://www.anacondamining.com/,"Anaconda Mining is a gold exploration and development company focused in the Newfoundland and Nova Scotia. The company utilises a two-stage drilling method that enables economic mining of narrow-vein deposits previously deemed uneconomical. Its projects include Goldboro project, Point Rousse project, The Great Northern project, and The Tilt Cove project. The Goldboro project is an exploration and development project which is located on tidewater approximately 185km northeast of Halifax, Nova Scotia. The Great Northern project comprises 2 claim blocks covering 9,975 hectares. The Tilt Cove project is a gold-copper project located within the Baie Verte Mining district.",Public,"4,069,000",Exploration,Existing,2007,Canada,Mining,TRUE,,,,
Deep Green,https://deep.green/,"DeepGreen is on track to become a leading producer of base and strategic metals obtained from vast high-grade seafloor polymetallic nodule deposits containing nickel, manganese, copper and cobalt. The Company’s leading achievements have already drawn attention from miner and metal trader Glencore, which has contracted to buy a percentage of the nickel and copper produced from a DeepGreen processing plant.",Series C,"154,300,000",Exploration,Existing,2015,Canada,Mining,TRUE,,,,
Moon Express,http://www.moonexpress.com/,Moon Express is developing robotic spacecraft systems and a maiden mission to deliver payloads to the lunar surface at a fraction of the cost of government programs. Longer term plans include a permanent post on the moon for exploration of resources. ,Series C,"65,500,000",Exploration,Distant,2010,USA,Mining,TRUE,,,,
iSpace,https://www.ispace-inc.com/,"ispace develops micro-robots that will locate the resources necessary to extend human life into outer space. The company focuses on locating, extracting, and delivering lunar ice to customers in cis-lunar space. It utilizes 3D printed and commercially off the shelf products (COTS) for rapid prototyping while maximizing structural mass efficiency and shortening the developmental life cycle. It manages the technological and business development operations of Team HAKUTO in the Google Lunar XPRIZE Competition. The company won a $500,000 Milestone Prize in mobility for landing a privately funded robot on the moon.",Series A,"90,200,000",Exploration,Distant,2010,Japan,Mining,TRUE,,,,
PTS Space,https://pts.space/,"PTScientists, formerly known as Part-Time Scientists is the first German team to officially enter the Google Lunar X-Prize competition. They have developed a spacecraft capable of delivering two rovers, or up to 100 kg of payload, to the lunar surface. Their products include Lunar Rover (Audi lunar quattro equipped with a four-wheel electrical drive chain), ALINA ( Spacecraft), payload delivery system, etc. Its spacecraft is capable of traveling upto 380,000 km distance from Earth to the Moon and can deliver up to 100 kg to the surface of the Moon. They have already won two Milestone Prizes: the Mobility Prize ($500,000), and the Imaging Prize ($250,000). In March 2017, announced that they will do the moon landing in 2018, using Falcon 9 two-stage-to-orbit launch vehicles.",Unfunded,n/a,Exploration,Distant,2010,Germany,Mining,TRUE,,,,
Neptune Minerals,https://www.neptuneminerals.com/,Neptune Minerals is a leader in deep ocean minerals exploration and resource development.,Series C,"$45,100,000",Exploration,Distant,2019,United Kingdom,Mining,TRUE,,,,
Phytoponics,https://phytoponics.com/,"Phytoponics develops a hydroponic growing system named Hydrosac on a commerical scale. With Hydrosac, Phytoponics could help farmers obatin high return on investment by reducing installation costs, increasing productivity, and prolonging product cycles. As the first company offering Deep Water Culture growing techology, Phytoponics uses bubble-bust techonology in the patent pending fail-safe design. ",Seed,"741,700",Local Resources,Existing,2016,United Kingdom,Both,TRUE,,,,
Skycatch,https://www.skycatch.com/,"Skycatch builds technology to autonomously capture, process, and analyze 3D drone data to provide companies with an accurate visualization of the physical world. Use cases include: Structural inspections, logistics planning, physical twin building (3D digital model)",Series B,"48,000,000",Build,Emerging,2013,"Primarily USA, with global clients like Komatsu",Both,TRUE,,,,
Delair,https://delair.aero/,"Powerful cloud-platform and industry-specific analytics turn aerial data into actionable business insights. Operations get safer and more efficient. Rapidly and repeatedly collect and analyze the drone imagery across sites in a scalable and easy way. Features include: Digital twin, advanced stockpile analytics, plan provisioning and accounting. Automated stockpile reports save you time and enable you to deliver information to the stakeholders in a timely and accurate fashion.",Series B,"48,000,000",Optimisation,Emerging,2011,France,Both,TRUE,,,,
Element Analytics,https://www.elementanalytics.com/,"Element Analytics develops industry-specific solutions for heavy industry applications. Provides digital twin solutions for the delivery of time-series and business data based on the operations of an organization. The data scientists can use the platform to explore and analyze industrial data, by automatically incorporating contextual influences. The product can be used by customers in the Power Generation, Manufacturing, Transmission Distribution, Mining, Utilities, Chemicals, and Facilities sectors. ",Series A,"26,500,000",Optimisation,Existing,2014,USA,Both,TRUE,,,,
Lllamazoo,https://www.llamazoo.com/,"Digital twin platform for oil & gas, aerospace and mining industries that helps to plan and monitor operations & progress through data visualization. Was awarded the Startup of the Year at 2015 Viatec Technology Awards. Content is created using MRI and CT imaging in cooperation with institutions.",Seed,"500,000",Optimisation,Distant,2014,Canada,Mining,TRUE,,,,
DataCloud,https://www.datacloud.com,"DataCloud is a cloud-based data analytics solution for the mining industry. DataCloud’s integrated suite of tools and applications use the automated IoT sensors, artificial intelligence, and the cloud to visualize and understand rock benches in real-time, producing insights that help monitor drill and blast outcomes. Solutions include RockMaster SWD (Seismic While Drilling), RockMaster SWI (Surface Wave Imaging), RockMaster BHI (Blast Hole Imaging), RockMAster MWD (Meas. While Drilling), MinePortal (""Earthmodel"" GeoScience Data Platform), and MineMigrator (Lift and Shift Service).",Series A,"12,000,000",Optimisation,Emerging,2016,USA,Mining,TRUE,,,,
HiveUAV,http://hiveuav.com/,"HiveUAV is a provider of UAV Solutions for the mining industry. HiveUAV combines UAV and docking system in order to monitor remote locations from the air. Functionalities include Ground and stockpile surveys, Environmental inspections, Blast Monitoring, Surveillance, Incident response and management, Plant and equipment inspections, and Highwall Inspections. The company also provides Honeycomb, a software that utilizes the technology and functionality provided by the UAV and the Hive. Honeycomb is the main access point for the user to the system to determine the status of UAV missions, future scheduled and planned missions, mission flight information, access to live imagery and captured imagery.",Seed,"30,000",Safety,Existing,2014,Australia,Mining,FALSE,,,,
MineIQ,http://mineiq.com/,MineIQ provides software solutions to mining companies for visualizing and utilizing relevant data. Provides a tool for storing the acquired data from mining operations in a central repository. Offers reporting and visualization solutions enabling businesses to extract insights from the collected data to optimize their processes.,Seed,"41,000",Optimisation,Existing,2013,Canada,Mining,TRUE,,,,
Lightship Works,https://www.lightshipworks.com,"Lightship is a map interface that shows the location and status of people, assets and sensor for a work space. Any incoming data can be added as a visible layer like weather, range of devices and sensors. Application can also track work force using wearable and message can be relayed.",Seed,"1,300,000",Optimisation,Emerging,2011,Canada,Mining,TRUE,,,,
SeePilot  ,https://seepilot.com/,"SeePilot provides a VR-based collaboration solution for workplace communication. The solution offered by the enables organizations to build their own 360 virtual worksites for spatial communication to improve safety and productivity. Clientele includes Olam, Ausgrid, Barminco, OZ Minerals, UNSM Syndey, and Pybar Mining.",Undisclosed,Undisclosed,Optimisation,Emerging,2016,Australia,Mining,TRUE,,,,
DataProphet,https://dataprophet.com/,"DataProphet offers AI-based solutions for quality management for auto, steel, and mineral processing industries. The company offers an AI suite that includes modules such as DataProphet Prescribe, which provides deep learning-based optimum plant control parameters and DataProphet Inspect, which provides machine learning-based inspection solutions to detect manufacturing defects. It also provides consulting services to the Retail/FMCG, insurance, financial services, manufacturing, and energy industries. Clientele includes Daimler, BMW, Gerdau, Atlantis Foundries",Series A,"14,000,000",Optimisation,Emerging,2013,South Africa,Mining,TRUE,,,,
Sitemark,sitemark.com,"Sitemark is a provider of a software solution for drone deployment. The software allows users to control drones from a tablet interface and is targeted at commercial solar sites, construction projects, & mining/industrial sites. It enables users to measure volume/grade/distance on a site, create pdf/csv reports, collaborate across teams, visually track progress on a site, conduct surveys, create CAD models, perform inspections, and more. It also uses machine learning based algorithms to analyze the collected data. Used in the solar energy sector to provide aerial insights of solar site construction and inspection.",Series A,"8,790,080",Optimisation,Emerging,2016,Belgium,Both,TRUE,,,,
Eigen,https://www.eigen.io/,"Eigen Innovations provides artificial intelligence based software solution for the Industrial Internet of Things applications. The software processes data from disparate sources and aggregates them into a simplified interface where the operators can identify and define common traits and outliers in the same. It then uses a combination of the collected data and operator insights to continue analyzing data, learning over time the best practices for the factory. The company claims that the software can anticipate and correct potential problems it detects thereby automatically adjusting the settings of certain key machines to ensure smooth operations. Applications are in the areas of automotive, food processing, construction materials, mining/smelting etc. The company in 2016 was selected to be a part of Cohort Silicon Valley Accelerator programme. It has won multiple awards such as Cisco Innovation Grand Challenge, Dell Connect What Matters Contest, KIRA Awards etc",Series A,"5,500,000",Optimisation,Emerging,2012,Canada,Both,TRUE,,,,
Sinfosy,sinfosy.com,Software solutions for smart manufacturing and asset tracking,Series A,"11,000,000",Optimisation,Existing,2015,Germany,Both,TRUE,,,,
Sight Machine,https://sightmachine.com/,"Powering Digital manufacturing. Sight Machine specializes in manufacturing analytics and used by Global 500 companies to make better, faster decisions about their operations. Sight Machine's analytics platform, purpose-built for discrete and process manufacturing, uses artificial intelligence, machine learning, and advanced analytics to help address critical challenges in quality and productivity throughout the enterprise.

The platform is powered by the industry’s only Plant Digital Twin, which enables real-time visibility and actionable insights for every machine, line, and plant throughout an enterprise.",Series C,"59,900,000",Optimisation,Existing,2012,USA,Both,TRUE,,,,
Veerum,https://www.veerum.com/platform,"Satisfy your customers with a scalable asset visualization solution using VEERUM as your partner. Our non-intrusive technology integrates all asset data into a simple to use online platform that can be accessed from anywhere in the world. From design, to construction, to handover, to operations and maintenance, our asset visualization platform adds value across the entire asset lifecycle. All asset stakeholders have access to a verifiable audit history of the asset. Our next generation technology is adding value to organizations in Energy, Oil and Gas, Hydro, Mining, and more.
Your existing asset data is integrated into the context of a 3D model, making it easy for the entire team to access current asset information. Veerum is a SaaS technology company that transforms capital project delivery using Digital Twin technology.",Seed,"5,700,000",Optimisation,Emerging,2014,Canada,Both,TRUE,,,,
Falkonry,https://falkonry.com/,"Falkonry enables Digital Transformation with Predictive Operations Technology. Falkonry is the leading provider of predictive operations technology for companies looking to achieve significant improvements in the uptime, performance, quality and safety of their operations. Falkonry’s “pre-packaged” machine learning system, Falkonry LRS, enables operations teams to discover, explain and predict behaviors that matter, without requiring data scientists. Falkonry LRS complements a users domain expertise with predictive analytics to more deeply understand their operations, and can scale across assets, processes and operations. Our ready-to-use machine learning system, called Falkonry LRS, can be deployed and used directly by practitioners such as manufacturing engineers or process engineers, and does not require data scientists. In fact it is like a “data scientist-in-a-box” and can be deployed both on-premises or in the cloud.",Series A,"10,900,000",Optimisation,Emerging,2012,USA,Both,TRUE,,,,
Arundo,https://www.arundo.com/,"We are building a more sustainable world through data-driven insights for industrial operations. Our software enables advanced analytics, machine learning, and IoT applications for more efficient, safer, and more effective physical systems. IMPROVE PROCESS AND EQUIPMENT PERFORMANCE ACROSS UNITS AND PLANTS. Get continuous insight into process unit and equipment performance beyond traditional control and simulation packages. Combine data analytics with existing simulation models and in-house expertise to get the best of IoT analytics for your plant.",Series A,"32,700,000",Optimisation,Emerging,2015,USA,Both,TRUE,,,,
Bonsai,https://www.bons.ai/,"AI for Industrial Applications. Unlocking the Power of Deep Reinforcement Learning for Industrial Systems. Bonsai tools empower users to develop deep reinforcement learning models that can significantly improve the operations of complex industrial systems. Leverage Bonsai and deep reinforcement learning to increase the precision, production and reliability of your manufacturing operations.",Acquired,"13,600,000",Optimisation,Emerging,2014,USA,Both,TRUE,,,,
WorldSensing,https://www.worldsensing.com/,"Operational intelligence solutions. Digitize your operations: We help more than 200 customers in over 60 countries to make data-informed decisions with real-time intelligence. Worldsensing is a market leader in Internet of Things (IoT) solutions. The company has built on its expertise in low-power wireless sensing networks and has created comprehensive vertical solutions in sectors where IoT is making a measurable impact. Worldsensing is an IoT company specializing in sensing solutions for smart cities and industries with critical assets in remote locations. Mining Operational Intelligence - Turn real-time mine data into actionable results. Our customizable software solution connects sensor-based data, systems, and people to generate instant, geo-located insights: Gain complete visibility over all mining operations; Remotely monitor, manage, and maintain key assets; Predict and prepare for unusual situations; Use data insights to make decisions based on intelligence; Reduce operational costs due not needing expensive cabling; Easily integrate 3rd party systems and sensors",Series B,"10,975,000",Optimisation,Emerging,2008,Spain,Both,TRUE,,,,
Kespry,https://www.kespry.com/,"Drone aerial intelligence for industry. More accurate, easier, and safer surveys and inspections. The Drone-Based Aerial Intelligence Platform for Aggregates and Mining. Kespry is the only complete commercial drone and data solution used by the top aggregates producers and mining companies. Kespry delivers unrivaled simplicity for accurate inventory management and mine planning. See Kespry in action for yourself by clicking the Kespry Cloud trial button.",Series D,"61,400,000",Optimisation,Existing,2013,USA,Both,TRUE,,,,
Strayos,https://www.strayos.com/,"Strayos is a 3D aerial intelligence platform for Mining and Quarry blasting operations to reduce cost, improve productivity and safety by providing highly accurate survey data analytics. Strayos is a powerful data analytics software designed to maximize operational excellence.",Seed,"950,000",Optimisation,Emerging,2016,USA,Both,TRUE,,,,
Newton Labs,https://newtonlabs.com.au/,"At Newton Labs, we combine IoT systems and machine learning for the mining industry to enable realtime intelligence and decision making. The first-use case was deploying connected sensors and data analytics to detect oversize material in the back of haul trucks.",Seed,"70,000",Optimisation,Emerging,2014,USA,Mining,TRUE,,,,
MinVu,minvu.com,"MinVu, a provider of mine-wide operational reporting and analytics software solutions to the mining industry. MinVu has been providing enterprise operational software to their global customers for over 18 years. Miners rely on the MinVu products to understand exactly what their mining equipment is doing at any time of the day or night.",Acquired,"11,000,000",Optimisation,Emerging,2000,Australia,Mining,TRUE,,,,
Quanergy Systems,quanergy.com,"Quanergy Systems is a technology company developing smart sensing solutions for real-time 3D mapping and object detection, tracking, and classification.",Series C,"160,000,000",Optimisation,Existing,2012,USA,Mining,TRUE,,,,
Foghorn,http://www.foghorn.io/,"FogHorn provides an edge intelligence (or ""fog computing"") platform for industrial and commercial IoT applications. It enables analytics and edge computing applications in a wide variety of industrial and enterprise use cases in sectors such as manufacturing, power and water utilities, oil and gas production, mining, renewable energy, transportation and healthcare, as well as smart grids, smart cities, smart buildings and connected vehicles.",Series B,"57,960,000",Optimisation,Emerging,2014,USA,Mining,TRUE,,,,
OSIsoft,http://www.osisoft.com/,"OSIsoft delivers the PI System, an enterprise infrastructure for management of real-time data and events. The OSIsoft PI System is used in manufacturing, energy, utilities, life sciences, data centers, facilities, and the process industries. This global installed base relies upon the OSIsoft PI System to safeguard data and deliver enterprise-wide visibility into operational, manufacturing and business data. The PI System enables users to manage assets, mitigate risks, comply with regulations, improve processes, drive innovation, make business decisions in real-time, and to identify competitive business and market opportunities.",Acquired,"142,730,000",Optimisation,Emerging,2007,USA,Mining,FALSE,,,,
Flutura,flutura.com,"Flutura is an AI Solutions company focused on improving two core business objectives of ""Asset Uptime"" and ""Operation Efficiency"". The company does this with Cerebra, its AI Platform tuned for IIOT in Oil & Gas, Specialty Chemicals, and Heavy machinery manufacturing industries, powering connected asset and connected operations use cases.",Series A,"8,500,000",Optimisation,Emerging,2012,USA,Both,TRUE,,,,
Einsite,http://www.einsite.com/,"Einsite builds Internet-of-Things technology to make the construction and mining industries smarter, and aims to digitize and revolutionize the construction industry by building a plug-n-play product to improve project management and execution.",Seed,"1,000,000",Optimisation,Distant,2015,USA,Both,TRUE,,,,
Boxarr,http://www.boxarr.com/,"BOXARR, formerly Plexus Planning, offers a solution for 'Inter-dependent Systems Management'; delivering scalable applications to solve challenges of complexity. BOXARR's system modeling and analysis tools, enable complex organizations such as aerospace, defense, government, automotive, manufacturing, energy oil & gas, mining, transport, finance healthcare and enterprise, to optimize their operational performance.",Seed,"3,020,000",Optimisation,Emerging,2003,United Kingdom,Mining,TRUE,,,,
